name;price;page;quantity;unit;unit_price;type;is_outlier;brand
Jumbos Espresso Superlativo Koffiecups 40 Stuks;8.69;6.0;40.0;st;0.0310357142857142;cups;False;jumbo
Segafredo Zanetti Intermezzo Koffiebonen 1000 g;18.89;6.0;1000.0;g;0.01889;beans;False;segafredo
Jumbos Beste Koffie Snelfiltermaling Aroma 250 g;3.99;6.0;250.0;g;0.01596;filter;False;jumbo
La Place Koffiecups Espresso Fortissimo 10 Stuks;2.99;6.0;10.0;st;0.0427142857142857;cups;False;la place
Kanis & Gunnink Dark Roast Koffiepads 36 stuks;4.69;6.0;36.0;st;0.0186111111111111;pads;False;kanis en gunnink
La Place Koffiebonen Dolce 1 kg;15.79;6.0;1000.0;g;0.01579;beans;False;la place
NescafA(c) 3in1 Oploskoffie - 10 Stuks;2.79;6.0;10.0;st;0.0398571428571428;instant;False;nescafe
Douwe Egberts Aroma Rood Donker Filterkoffie 500 g;8.39;6.0;500.0;g;0.01678;filter;False;douwe egberts
Lavazza Espresso Barista Intenso koffiebonen 500g;15.79;7.0;500.0;g;0.03158;beans;False;lavazza
Senseo Espresso Coffee Pads 36 Stuks 250 g;6.49;7.0;36.0;st;0.0257539682539682;pads;False;senseo
Jumbos Koffiepads Mild 56 Stuks;6.59;7.0;56.0;st;0.0168112244897959;pads;False;jumbo
Jumbos Espresso Ultimo Koffiecups 40 Stuks;8.69;7.0;40.0;st;0.0310357142857142;cups;False;jumbo
Douwe Egberts Lungo 6 Original Gemalen Koffie 45 + 5 Capsules Gratis 260 g;12.59;7.0;50.0;capsules;0.0359714285714285;capsule;False;douwe egberts
Jumbos Ristretto Extra Forte Koffiecups 40 Stuks;8.69;7.0;40.0;st;0.0310357142857142;cups;False;jumbo
StarbucksA(r) Pike Place Medium Roast koffiebonen 450 gram;12.69;7.0;450.0;g;0.0282;beans;False;starbucks
NESCAFA Dolce Gusto, Koffie Grande, 30 capsules, 255 gr;8.99;8.0;30.0;capsules;0.0428095238095238;capsule;False;nescafe
Douwe Egberts Excellent Gold Koffiebonen 1000 g;19.79;8.0;1000.0;g;0.01979;beans;False;douwe egberts
Douwe Egberts Aroma Rood Grove Maling Filterkoffie 250 g;4.45;8.0;250.0;g;0.0178;filter;False;douwe egberts
Senseo Extra Strong Coffee Pads 36 Stuks 250 g;6.29;8.0;36.0;st;0.0249603174603174;pads;False;senseo
Jumbos Beste Koffiebonen Decaf 500 g;7.99;8.0;500.0;g;0.01598;beans;False;jumbo
Douwe Egberts Intens Koffiebonen 1000 g;15.99;8.0;1000.0;g;0.01599;beans;False;douwe egberts
CafA(c) IntenciA3n Aromatico 250 g filterkoffie;6.19;8.0;250.0;g;0.02476;filter;False;cafe intencin
Jumbos Beste Koffie Grove Filtermaling Aroma 500 g;6.99;9.0;500.0;g;0.01398;filter;False;jumbo
Douwe Egberts Verwenkoffie Latte Caramel oploskoffie 8 stuks;3.09;9.0;8.0;st;0.0551785714285714;instant;False;douwe egberts
Senseo Strong Coffee Pads 36 Stuks 250 g;6.29;9.0;36.0;st;0.0249603174603174;pads;False;senseo
Jumbos Dolce Gusto Cappuccino Koffiecups 2 x 15 Stuks;6.99;9.0;30.0;st;0.0332857142857142;capsule;False;jumbo
Kanis & Gunnink Regular Koffiepads 36 stuks;4.69;9.0;36.0;st;0.0186111111111111;pads;False;kanis en gunnink
Senseo Decaf Coffee Pads 36 Stuks 250 g;6.29;9.0;36.0;st;0.0249603174603174;pads;False;senseo
Smit & Dorlas Classic Roast Koffiebonen 500 g;9.79;10.0;500.0;g;0.0195799999999999;beans;False;smit and dorlas
Senseo Extra Strong Coffee Pads Maxi Pack 54 Stuks 375 g;8.99;10.0;54.0;st;0.0237830687830687;pads;False;senseo
Douwe Egberts Aroma Rood Sticks Oploskoffie 25 stuks;3.09;10.0;25.0;st;0.0176571428571428;instant;False;douwe egberts
Lavazza lavazza Rossa gemalen / filterkoffie 250 g;6.19;10.0;250.0;g;0.02476;ground;False;lavazza
Lavazza Espresso Barista Perfetto koffiebonen 500 g;15.79;10.0;500.0;g;0.03158;beans;False;lavazza
La Place Koffiecups Lungo Originale 10 Stuks;2.99;10.0;10.0;st;0.0427142857142857;cups;False;la place
LOR Espresso Forza Ground Coffee 20 Stuks 104 g;7.79;10.0;20.0;st;0.0556428571428571;ground;False;lor
Douwe Egberts Intens Koffiepads Familiepak 54 Stuks 375 g;8.79;11.0;54.0;st;0.0232539682539682;pads;False;douwe egberts
LOR Espresso Fortissimo Koffiebonen 500 g;11.89;11.0;500.0;g;0.02378;beans;False;lor
Jumbos Lungo Koffiecups 16 Stuks;4.25;11.0;16.0;st;0.0379464285714285;cups;False;jumbo
Kanis & Gunnink Decaf Filterkoffie 500 g;6.99;11.0;500.0;g;0.01398;filter;False;kanis en gunnink
NescafA(c) Gold Oploskoffie 50 g;3.69;11.0;50.0;g;0.0738;instant;False;nescafe
Jumbos Koffiepads Extra Dark 36 Stuks;4.99;12.0;36.0;st;0.0198015873015873;pads;False;jumbo
Senseo Gold Koffiepads 36 Stuks 250 g;6.59;12.0;36.0;st;0.0261507936507936;pads;False;senseo
Jumbos Beste Koffie Snelfiltermaling Dark Roast 500 g;6.99;12.0;500.0;g;0.01398;filter;False;jumbo
NescafA(c) Wiener Melange Family oploskoffie 20 koppen - 280g;3.99;12.0;280.0;g;0.01425;instant;False;nescafe
Jumbo Goud Oploskoffie 100 g;3.0;12.0;100.0;g;0.03;instant;False;jumbo
Jumbos Beste Koffie Snelfiltermaling Decaf 250 g;4.69;12.0;250.0;g;0.01876;filter;False;jumbo
NescafA(c) Gold Oploskoffie 25 Stuks;3.0;12.0;25.0;st;0.0171428571428571;instant;False;nescafe
LOR Espresso Estremo Coffee Beans 500 g;11.89;12.0;500.0;g;0.02378;other;False;lor
Jumbos Koffiepads Mokka 36 Stuks;4.99;12.0;36.0;st;0.0198015873015873;pads;False;jumbo
illy Classico Coffee Beans 250 g;7.99;12.0;250.0;g;0.03196;other;False;illy
Crema e Gusto Classico koffiebonen 1kg;20.99;13.0;1000.0;g;0.0209899999999999;beans;False;crema e gusto
LOR Espresso Supremo Roasty & Sweet Coffee Beans 500 g;11.89;13.0;500.0;g;0.02378;other;False;lor
LOR Espresso Splendente Ground Coffee 20 Stuks 104 g;7.79;13.0;20.0;st;0.0556428571428571;ground;False;lor
Senseo Mocca Gourmet Coffee Pads 36 Stuks 250 g;6.29;13.0;36.0;st;0.0249603174603174;pads;False;senseo
